Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1631536020962,13/09/2021 12:27:00,1631536019438,1,13/09/2021 13:26:59,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1631536048384,13/09/2021 12:27:28,1631536046914,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,mouse,mouse
3,1631536048481,13/09/2021 12:27:28,1631536046916,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,mouse-quantised,1
4,1631536048481,13/09/2021 12:27:28,1631536046917,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,problems,no
5,1631536048481,13/09/2021 12:27:28,1631536046917,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,problems-quantised,1
6,1631536048481,13/09/2021 12:27:28,1631536046917,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,problems-text,
7,1631536048481,13/09/2021 12:27:28,1631536046917,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,drugs/alcohol-1,No
8,1631536048481,13/09/2021 12:27:28,1631536046918,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,tired,Fine
9,1631536048481,13/09/2021 12:27:28,1631536046918,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,tired-quantised,3
10,1631536048481,13/09/2021 12:27:28,1631536046919,1,13/09/2021 13:27:26,61434,1,questionnaire-iqdc,,15677257,60c787584a64aa3bc3d53c8a,4646270,,complete,,613f3da8b1bd9bfe467ea7b8,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.63,1366x768,1366x768,,Study questions sept21,1,No,END QUESTIONNAIRE,27481
1,1634117809653,13/10/2021 09:36:49,1634117808539,1,13/10/2021 10:36:48,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1634117824119,13/10/2021 09:37:04,1634117823059,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,mouse,mouse
3,1634117824212,13/10/2021 09:37:04,1634117823060,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,mouse-quantised,1
4,1634117824212,13/10/2021 09:37:04,1634117823061,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,problems,no
5,1634117824212,13/10/2021 09:37:04,1634117823061,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,problems-quantised,1
6,1634117824212,13/10/2021 09:37:04,1634117823061,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,problems-text,
7,1634117824212,13/10/2021 09:37:04,1634117823061,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,drugs/alcohol-1,No
8,1634117824212,13/10/2021 09:37:04,1634117823061,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,tired,Tired
9,1634117824212,13/10/2021 09:37:04,1634117823061,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,tired-quantised,2
10,1634117824212,13/10/2021 09:37:04,1634117823062,1,13/10/2021 10:37:03,61434,1,questionnaire-iqdc,,16345652,5d351eb3ca8f5b0001834ca0,4838496,,complete,,6166a528c1f2acf94c3f1fc3,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1536x864,1536x864,,Study questions sept21,1,No,END QUESTIONNAIRE,14524
1,1634587608417,18/10/2021 20:06:48,1634587607574,1,18/10/2021 21:06:47,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1366x657,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1634587633438,18/10/2021 20:07:13,1634587632629,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,mouse,mouse
3,1634587633562,18/10/2021 20:07:13,1634587632634,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,mouse-quantised,1
4,1634587633562,18/10/2021 20:07:13,1634587632635,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,problems,no
5,1634587633562,18/10/2021 20:07:13,1634587632636,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,problems-quantised,1
6,1634587633562,18/10/2021 20:07:13,1634587632636,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,problems-text,
7,1634587633562,18/10/2021 20:07:13,1634587632636,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,drugs/alcohol-1,No
8,1634587633562,18/10/2021 20:07:13,1634587632637,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,tired,Fine
9,1634587633562,18/10/2021 20:07:13,1634587632637,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,tired-quantised,3
10,1634587633562,18/10/2021 20:07:13,1634587632637,1,18/10/2021 21:07:12,61434,1,questionnaire-iqdc,,16474238,60244fcbf9b0e1129517c0a0,4873026,,complete,,616dcf1dda750d9a3b437c85,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.81,1366x768,1349x657,,Study questions sept21,1,No,END QUESTIONNAIRE,25063
1,1633474136967,05/10/2021 22:48:56,1633474136700,1,05/10/2021 23:48:56,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1633474160632,05/10/2021 22:49:20,1633474160423,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,mouse,mouse
3,1633474160695,05/10/2021 22:49:20,1633474160429,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,mouse-quantised,1
4,1633474160695,05/10/2021 22:49:20,1633474160430,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,problems,no
5,1633474160695,05/10/2021 22:49:20,1633474160431,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,problems-quantised,1
6,1633474160695,05/10/2021 22:49:20,1633474160431,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,problems-text,
7,1633474160695,05/10/2021 22:49:20,1633474160432,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,drugs/alcohol-1,No
8,1633474160695,05/10/2021 22:49:20,1633474160433,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,tired,Tired
9,1633474160695,05/10/2021 22:49:20,1633474160434,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,tired-quantised,2
10,1633474160695,05/10/2021 22:49:20,1633474160436,1,05/10/2021 23:49:20,61434,1,questionnaire-iqdc,,16202595,6057790fd7f0a41242080c99,4793411,,complete,,615cd1c4efdbcfcaa8ad512c,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x768,,Study questions sept21,1,No,END QUESTIONNAIRE,23735
1,1632302520794,22/09/2021 09:22:00,1632302520579,10,22/09/2021 19:22:00,61434,1,questionnaire-iqdc,,15921022,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1920x1080,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1632302548469,22/09/2021 09:22:28,1632302548298,10,22/09/2021 19:22:28,61434,1,questionnaire-iqdc,,15921022,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1920x1080,,Study questions sept21,1,No,mouse,mouse
3,1632302548782,22/09/2021 09:22:28,1632302548299,10,22/09/2021 19:22:28,61434,1,questionnaire-iqdc,,15921022,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1920x1080,,Study questions sept21,1,No,mouse-quantised,1
4,1632302548782,22/09/2021 09:22:28,1632302548299,10,22/09/2021 19:22:28,61434,1,questionnaire-iqdc,,15921022,60ee830fe4fdfd6f71be5290,4708213,,complete,,614af0ee42d1add6a218b647,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1920x1080,1920x1080,,Study questions sept21,1,No,problems,no
